"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-09","Extremadura",77937,100.0,95147,100.0,127978,100.0,142439,84.2,35114,22.0,23741,12.3,2983,3.9,76,0.4,505415,911213,55.5
"2021-06-09","Galicia",240124,100.0,286768,99.0,331496,95.6,368890,90.9,64935,14.7,49578,11.1,6844,4.5,45,0.1,1348680,2362643,57.1
"2021-06-09","La Rioja",23280,100.0,28409,100.0,36586,97.0,38878,81.6,7855,14.8,7634,14.0,1581,7.5,10,0.2,144233,270788,53.3
"2021-06-09","Madrid",370029,100.0,502624,95.5,673659,95.8,798098,82.0,165281,14.2,182271,13.5,35689,7.4,484,0.4,2728135,5695623,47.9
"2021-06-09","Murcia",73016,100.0,99763,97.0,129391,88.1,168017,78.8,49174,19.3,32213,10.8,7770,6.5,154,0.4,559498,1237479,45.2
"2021-06-09","Navarra",42340,100.0,55504,99.5,70241,95.1,88459,91.5,30491,28.2,16084,14.0,4000,8.2,15,0.1,307134,552935,55.5
"2021-06-09","País Vasco",161790,100.0,209668,98.4,271568,96.9,270833,79.7,55085,15.2,52816,14.6,13366,9.5,52,0.1,1035178,1898123,54.5
"2021-06-09","Ceuta",2358,90.5,3753,86.9,6993,89.0,9659,83.6,9008,71.3,2246,12.9,600,7.9,10,0.5,34627,66158,52.3
"2021-06-09","Melilla",1932,82.2,3135,83.6,6399,81.8,8180,72.4,7618,63.5,2070,11.4,329,3.9,7,0.3,29670,66178,44.8
"2021-06-09","España",2908603,100.0,3872443,97.8,4914444,92.1,5590348,79.5,1644436,20.8,1130567,12.8,241771,7.3,3176,0.3,20305788,40129822,50.6
"2021-06-10","Andalucía",430410,100.0,641481,98.6,844697,92.2,1059804,83.8,405992,29.3,197310,12.1,41818,6.7,611,0.3,3622123,7062213,51.3
"2021-06-10","Aragón",100530,100.0,117496,98.8,147423,94.3,160360,80.9,61367,28.6,34456,14.9,7753,8.7,75,0.3,629460,1132764,55.6
"2021-06-10","Asturias",88251,100.0,112955,100.0,139860,93.5,135637,83.4,51995,31.1,21103,13.6,4741,8.8,59,0.4,554601,901209,61.5
"2021-06-10","Baleares",50553,100.0,76840,95.4,98248,83.8,125143,75.5,71387,34.6,27599,10.7,4637,5.4,46,0.2,454453,986279,46.1
"2021-06-10","Canarias",90999,100.0,146415,94.7,204893,87.2,252565,72.1,124359,32.1,51881,11.7,8556,5.2,100,0.2,879768,1871033,47.0
"2021-06-10","Cantabria",42082,100.0,55434,100.0,72464,93.7,69430,77.2,22203,22.7,12862,13.3,1886,5.4,15,0.1,276376,501384,55.1
"2021-06-10","Castilla y León",228159,100.0,247934,100.0,304783,95.7,280002,73.5,58135,16.0,48685,13.0,9578,6.6,126,0.3,1177402,2092873,56.3
"2021-06-10","Castilla la Mancha",137062,100.0,156634,98.4,206673,94.6,258154,84.0,102799,31.1,41817,11.1,8240,5.5,117,0.3,911496,1719964,53.0
"2021-06-10","Cataluña",454123,100.0,606839,95.5,717770,85.7,841021,77.0,308064,23.4,186074,12.5,51753,9.3,994,0.6,3166638,6531658,48.5
"2021-06-10","C. Valenciana",294056,100.0,427028,97.5,526588,90.7,579466,77.0,151892,17.8,109565,12.0,22091,6.3,222,0.2,2110908,4269305,49.4
"2021-06-10","Extremadura",77943,100.0,95171,100.0,127978,100.0,143967,85.1,38851,24.4,23741,12.3,2983,3.9,76,0.4,510710,911213,56.0
"2021-06-10","Galicia",240215,100.0,286926,99.0,331496,95.6,368890,90.9,92338,20.8,49578,11.1,6844,4.5,47,0.1,1376334,2362643,58.3
"2021-06-10","La Rioja",23282,100.0,28416,100.0,36586,97.0,38878,81.6,11000,20.8,7634,14.0,1581,7.5,11,0.2,147388,270788,54.4
"2021-06-10","Madrid",370171,100.0,502908,95.6,673659,95.8,798098,82.0,169713,14.6,182271,13.5,35689,7.4,488,0.4,2732997,5695623,48.0
"2021-06-10","Murcia",73046,100.0,99784,97.0,130276,88.7,170844,80.1,75521,29.7,32360,10.9,7806,6.6,155,0.4,589792,1237479,47.7
"2021-06-10","Navarra",42346,100.0,55535,99.5,70241,95.1,88459,91.5,34271,31.7,16084,14.0,4000,8.2,15,0.1,310951,552935,56.2
"2021-06-10","País Vasco",161793,100.0,209686,98.4,271568,96.9,270833,79.7,57576,15.9,52816,14.6,13366,9.5,55,0.1,1037693,1898123,54.7
"2021-06-10","Ceuta",2358,90.5,3753,86.9,6993,89.0,9659,83.6,9008,71.3,2246,12.9,600,7.9,10,0.5,34627,66158,52.3
"2021-06-10","Melilla",1934,82.3,3136,83.7,6400,81.8,8193,72.5,7643,63.7,2567,14.2,330,3.9,7,0.3,30210,66178,45.6
"2021-06-10","España",2909344,100.0,3874384,97.8,4921910,92.2,5668046,80.6,1872472,23.7,1135581,12.9,243082,7.3,3242,0.3,20628061,40129822,51.4
"2021-06-11","Andalucía",430494,100.0,641742,98.7,847890,92.5,1073975,84.9,466247,33.7,198610,12.2,42221,6.7,617,0.3,3701796,7062213,52.4
"2021-06-11","Aragón",100561,100.0,117603,98.9,147423,94.3,163866,82.6,72215,33.6,34456,14.9,7753,8.7,76,0.3,643953,1132764,56.8
"2021-06-11","Asturias",88273,100.0,113000,100.0,139860,93.5,137071,84.3,61573,36.9,21103,13.6,4741,8.8,59,0.4,565680,901209,62.8
"2021-06-11","Baleares",50567,100.0,76896,95.5,98248,83.8,125143,75.5,78365,38.0,27599,10.7,4637,5.4,46,0.2,461501,986279,46.8
"2021-06-11","Canarias",91034,100.0,146516,94.8,204893,87.2,255157,72.8,132032,34.0,52888,11.9,8595,5.2,104,0.2,891219,1871033,47.6
"2021-06-11","Cantabria",42093,100.0,55450,100.0,72616,93.9,70584,78.5,22902,23.4,12871,13.3,1893,5.4,17,0.2,278426,501384,55.5
"2021-06-11","Castilla y León",228203,100.0,248035,100.0,304916,95.7,293605,77.0,63202,17.4,48685,13.0,9593,6.6,127,0.3,1196366,2092873,57.2
"2021-06-11","Castilla la Mancha",137093,100.0,156710,98.5,207039,94.8,261495,85.0,114927,34.8,42339,11.2,8312,5.6,120,0.3,928035,1719964,54.0
"2021-06-11","Cataluña",454275,100.0,607310,95.6,721629,86.2,851146,78.0,343420,26.1,187906,12.6,52321,9.4,1010,0.6,3219017,6531658,49.3
"2021-06-11","C. Valenciana",294159,100.0,427385,97.6,527627,90.9,594609,79.0,173587,20.4,109916,12.0,22230,6.3,228,0.2,2149741,4269305,50.4
"2021-06-11","Extremadura",77955,100.0,95192,100.0,127978,100.0,147524,87.2,44942,28.2,23741,12.3,2983,3.9,77,0.4,520392,911213,57.1
"2021-06-11","Galicia",240244,100.0,287152,99.1,331496,95.6,368890,90.9,121406,27.4,49635,11.1,6844,4.5,48,0.1,1405715,2362643,59.5
"2021-06-11","La Rioja",23282,100.0,28416,100.0,36586,97.0,38878,81.6,11000,20.8,7634,14.0,1581,7.5,11,0.2,147388,270788,54.4
"2021-06-11","Madrid",370270,100.0,503124,95.6,673659,95.8,798098,82.0,184960,15.9,182271,13.5,35689,7.4,491,0.4,2748562,5695623,48.3
"2021-06-11","Murcia",73094,100.0,100179,97.4,131141,89.3,175694,82.4,88963,35.0,32557,11.0,7829,6.6,155,0.4,609612,1237479,49.3
"2021-06-11","Navarra",42348,100.0,55543,99.6,70241,95.1,88459,91.5,36512,33.8,16084,14.0,4000,8.2,15,0.1,313202,552935,56.6
"2021-06-11","País Vasco",161825,100.0,209735,98.4,271568,96.9,272824,80.2,60410,16.7,52816,14.6,13366,9.5,55,0.1,1042599,1898123,54.9
"2021-06-11","Ceuta",2358,90.5,3755,87.0,6993,89.0,9659,83.6,9008,71.3,2650,15.2,600,7.9,11,0.5,35034,66158,53.0
"2021-06-11","Melilla",1938,82.5,3149,84.0,6402,81.8,8203,72.6,7658,63.8,3081,17.0,330,3.9,7,0.3,30768,66178,46.5
"2021-06-11","España",2910097,100.0,3876905,97.9,4931520,92.4,5743574,81.7,2111805,26.8,1141955,13.0,244476,7.4,3287,0.3,20963619,40129822,52.2
"2021-06-14","Andalucía",430591,100.0,642030,98.7,851636,93.0,1084578,85.7,538536,38.9,201697,12.4,42881,6.9,620,0.3,3792569,7062213,53.7
"2021-06-14","Aragón",100584,100.0,117676,98.9,147423,94.3,166420,83.9,82575,38.4,34456,14.9,7753,8.7,78,0.3,656965,1132764,58.0
