"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-04-05","Aragón",75176,98807,76.1,3749,118955,3.2,12624,156367,8.1,23857,198266,12.0,47852,446083,10.7,5551,89180,6.2,28,25106,0.1,168837,1132764,14.9
"2021-04-05","Asturias",74184,87826,84.5,4399,109249,4.0,25965,149652,17.4,20010,162645,12.3,29866,322095,9.3,2884,54179,5.3,30,15563,0.2,157338,901209,17.5
"2021-04-05","Baleares",39275,49542,79.3,2355,80516,2.9,18928,117231,16.1,20083,165797,12.1,41736,464054,9.0,3545,85839,4.1,32,23300,0.1,125954,986279,12.8
"2021-04-05","Canarias",57589,90236,63.8,17267,154531,11.2,43479,235092,18.5,26765,350512,7.6,63936,832411,7.7,5604,163899,3.4,28,44352,0.1,214668,1871033,11.5
"2021-04-05","Cantabria",34111,41042,83.1,1907,53066,3.6,5559,77345,7.2,10803,89964,12.0,22015,194241,11.3,1537,34935,4.4,5,10791,0.0,75937,501384,15.1
"2021-04-05","Castilla y Leon",170883,223657,76.4,16860,245410,6.9,34990,318575,11.0,51296,381175,13.5,83184,738950,11.3,7133,144422,4.9,90,40684,0.2,364436,2092873,17.4
"2021-04-05","Castilla la Mancha",108213,135194,80.0,7157,159101,4.5,28129,218444,12.9,39200,307478,12.7,72193,707865,10.2,5615,149518,3.8,91,42364,0.2,260598,1719964,15.2
"2021-04-05","Cataluña",315861,447196,70.6,40696,635292,6.4,202874,837584,24.2,124610,1091780,11.4,283220,2803626,10.1,33901,556316,6.1,285,159864,0.2,1001447,6531658,15.3
"2021-04-05","C. Valenciana",250913,276531,90.7,15534,437862,3.5,38545,580728,6.6,88691,752334,11.8,196872,1765967,11.1,17161,352834,4.9,110,103049,0.1,607826,4269305,14.2
"2021-04-05","Extremadura",68249,76005,89.8,5203,91876,5.7,23810,125297,19.0,20856,169216,12.3,39427,351778,11.2,2070,76088,2.7,42,20953,0.2,159657,911213,17.5
"2021-04-05","Galicia",188221,234302,80.3,5055,289762,1.7,19953,346927,5.8,60291,405889,14.9,91979,889004,10.3,4049,152745,2.7,3,44014,0.0,369551,2362643,15.6
"2021-04-05","La Rioja",16149,22207,72.7,738,28125,2.6,6614,37718,17.5,6485,47664,13.6,12689,107618,11.8,1244,21170,5.9,8,6286,0.1,43927,270788,16.2
"2021-04-05","Madrid",250721,364122,68.9,31438,526081,6.0,97223,703323,13.8,102100,972783,10.5,264040,2513737,10.5,21396,479716,4.5,83,135861,0.1,767001,5695623,13.5
"2021-04-05","Murcia",60206,69771,86.3,2979,102899,2.9,15375,146909,10.5,24925,213256,11.7,57965,551265,10.5,6988,118667,5.9,103,34712,0.3,168541,1237479,13.6
